Name_x,Amusement Park,Type_x,Design,Status_x,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions_x,Elements,Image URLs,Drop (ft),Duration_x,G-Force (),Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop_x,Unnamed: 0,year_introduced,Location,Park section,Coordinates,Status_y,Opening date,General statistics,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics,Cost,Height restriction,Website,Coordinates_1,Coordinates_2,Status_1,Status_2,Opening date_1,Opening date_2,Coordinates_3,Coordinates_4,Status_3,Status_4,Opening date_3,Opening date_4,Flash Pass Available,Closing date_1,Closing date_2,Closing date_3,Closing date_4,Fast Lane available,Location_1,Location_2,Location_3,Location_4,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Coordinates_5,Coordinates_6,Status_5,Status_6,Opening date_5,Opening date_6,Coordinates_7,Coordinates_8,Coordinates_9,Status_7,Status_8,Status_9,Opening date_7,Opening date_8,Opening date_9,Park section_1,Park section_2,Park section_3,Park section_4,Coordinates_10,Status_10,Opening date_10,Replaced by_1,Replaced by_2,Coordinates_11,Coordinates_12,Coordinates_13,Coordinates_14,Coordinates_15,Status_11,Status_12,Status_13,Status_14,Status_15,Opening date_11,Opening date_12,Opening date_13,Opening date_14,Opening date_15,Closing date_5,Closing date_6,Closing date_7,Closing date_8,Replaced by_3,Replaced by_4,Coordinates_16,Coordinates_17,Coordinates_18,Coordinates_19,Coordinates_20,Status_16,Status_17,Status_18,Status_19,Status_20,Opening date_16,Opening date_17,Opening date_18,Opening date_19,Opening date_20,Closing date_9,Closing date_10,Closing date_11,Closing date_12,Coordinates_21,Coordinates_22,Coordinates_23,Coordinates_24,Coordinates_25,Status_21,Status_22,Status_23,Status_24,Status_25,Opening date_21,Opening date_22,Opening date_23,Opening date_24,Opening date_25,Closing date_13,Closing date_14,Closing date_15,Closing date_16,Coordinates_26,Coordinates_27,Coordinates_28,Coordinates_29,Coordinates_30,Status_26,Status_27,Status_28,Status_29,Status_30,Opening date_26,Opening date_27,Opening date_28,Opening date_29,Opening date_30,Closing date_17,Closing date_18,Closing date_19,Closing date_20,Coordinates_31,Coordinates_32,Coordinates_33,Coordinates_34,Coordinates_35,Coordinates_36,Status_31,Status_32,Status_33,Status_34,Status_35,Status_36,Opening date_31,Opening date_32,Opening date_33,Opening date_34,Opening date_35,Opening date_36,Closing date_21,Closing date_22,Closing date_23,Closing date_24,Closing date_25,Name_y,Cost_1,Cost_2,Cost_3,Cost_4,Flash Pass available,Soft opening date,Park section_5,Park section_6,Replaced by_5,Replaced by_6,Park section_7,Park section_8,Park section_9,Replaced by_7,Replaced by_8,Replaced by_9,Acceleration,Park section_10,Park section_11,Park section_12,Park section_13,Park section_14,Park section_15,Park section_16,Restraints,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Replaced_1,Replaced_2,Replaced_3,Replaced_4,Fastrack available,Soft opening date_1,Soft opening date_2,Soft opening date_3,Soft opening date_4,Park section_17,Park section_18,Park section_19,Park section_20,Park section_21,Park section_22,Park section_23,Park section_24,Park section_25,Park section_26,Park section_27,Park section_28,Park section_29,Park section_30,Park section_31,Park section_32,Park section_33,Park section_34,Park section_35,Park section_36,Website_1,Website_2,Website_3,Website_4,Cost_5,Cost_6,Cost_7,Cost_8,Cost_9
,,,,,,,,,,,,,,,,,,,,,,,,,,,Runaway Mine Train,1966.0,Six Flags Over Texas,Boomtown,32°45′30″N 97°04′07″W﻿ / ﻿32.758465°N 97.068487°W,Operating,"July 23, 1966",General statistics,Steel,Arrow Development,,Mine Train,,Chain,35 ft (11 m),,"2,400 ft (730 m)",35[1] mph (56 km/h),3:10,,2010 riders per hour,,Runaway Mine Train (Six Flags Over Texas),"Runaway Mine Train opened on July 23, 1966. The ride was the first of many mine train roller coasters built across the United States in response to the development of tubular steel rails. The Arrow Development Company, with Ronald Toomer, Karl Bacon, and Ed Morgan, advanced the steel roller coaster and roller coaster technology into a new era.In September 2006, Runaway Mine Train was designated an ACE Coaster Landmark by the American Coaster Enthusiasts.",,0,,,,,"$1,000,000",42 in (107 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Swamp Fox,1966.0,Family Kingdom Amusement Park,,33°40′57″N 78°53′30″W﻿ / ﻿33.682510°N 78.891702°W,Operating,1966,General statistics,Wood,Philadelphia Toboggan Coasters,John Allen,,Double Out and Back,Chain lift hill,75 ft (23 m),65 ft (20 m),"2,400 ft (730 m)",50 mph (80 km/h),,,,,Swamp Fox (roller coaster),History section not found,,0,,,,,,48 in (122 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannon Ball,1967.0,Lake Winnepesaukah,,34°58′29″N 85°14′55″W﻿ / ﻿34.974821°N 85.248504°W,Operating,1967,General statistics,Wood,Philadelphia Toboggan Coasters,John C. Allen,,Out and back,Chain lift hill,70 ft (21 m),70 ft (21 m),"2,272 ft (693 m)",50 mph (80 km/h),1:32,45°,,,Cannon Ball (roller coaster),History section not found,,0,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,,,,48 in (122 cm),,,,,,,,,,,,,,,,,,,,,,,,Must transfer from wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpine Sleigh Ride,1968.0,,,,Removed,"June 1, 1968",General statistics,,,,,,,,,,,,,,,Alpine Sleigh Ride,History section not found,1983,,,,Batman The Escape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunderbolt,1968.0,Kennywood,,40°23′20″N 79°51′54″W﻿ / ﻿40.38889°N 79.86500°W,Operating,1968,General statistics,Wood,,Andy Vettel (1968) John A. Miller (1924),,Terrain,Chain lift hill,70 ft (21 m),90 ft (27 m),"3,250 ft (990 m)",55 mph (89 km/h),1:41,,,,Thunderbolt (Kennywood),,,0,3 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Pippin,,,,52 in (132 cm),Official website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcat,1968.0,,,,,,General statistics,Wood,National Amusement Devices,Aurel Vaszin Edward Leis,Wooden roller coaster,Out and back,Chain lift hill,75 ft (23 m),65 ft (20 m),"2,653 ft (809 m)",46 mph (74 km/h),2:10,,,,Wildcat (Frontier City),,1977,,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,,,$2 million,42 in (107 cm),,35°34′58″N 97°26′32″W﻿ / ﻿35.5828415°N 97.4420955°W,38°59′28″N 94°33′29″W﻿ / ﻿38.991°N 94.558°W,Operating,Removed,"April 20, 1991",1968,35°34′58″N 97°26′32″W﻿ / ﻿35.5828415°N 97.4420955°W,38°59′28″N 94°33′29″W﻿ / ﻿38.991°N 94.558°W,Operating,Removed,"April 20, 1991",1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcat,1991.0,,,,,,General statistics,Wood,National Amusement Devices,Aurel Vaszin Edward Leis,Wooden roller coaster,Out and back,Chain lift hill,75 ft (23 m),65 ft (20 m),"2,653 ft (809 m)",46 mph (74 km/h),2:10,,,,Wildcat (Frontier City),,1977,,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,,,$2 million,42 in (107 cm),,35°34′58″N 97°26′32″W﻿ / ﻿35.5828415°N 97.4420955°W,38°59′28″N 94°33′29″W﻿ / ﻿38.991°N 94.558°W,Operating,Removed,"April 20, 1991",1968,35°34′58″N 97°26′32″W﻿ / ﻿35.5828415°N 97.4420955°W,38°59′28″N 94°33′29″W﻿ / ﻿38.991°N 94.558°W,Operating,Removed,"April 20, 1991",1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Serpent,1969.0,Six Flags AstroWorld,,29°40′34″N 95°24′25″W﻿ / ﻿29.676°N 95.407°W,Removed,1969,General statistics,Steel,Arrow Dynamics,,Mine Train,,Chain lift hill,20 ft (6.1 m),,810 ft (250 m),14 mph (23 km/h),1:29,,500 riders per hour,,Serpent (roller coaster),History section not found,"October 30, 2005",0,,,,,,36 in (91 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxi,1970.0,,,,In Production,,,,,,,,,,,,,,,,,Galaxi,History section not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lap Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Jet Star,1970.0,Casino Pier,,39°56′33″N 74°04′09″W﻿ / ﻿39.942574°N 74.069198°W,Removed,1970,General statistics,Steel,Anton Schwarzkopf,,Jet Star,,,44.3 ft (13.5 m),,"1,765.1 ft (538.0 m)",31.1 mph (50.1 km/h),1:07,,,,Jet Star (Casino Pier),"For some time there was confusion about the early history of the Jet Star. It was originally thought to have been moved to Casino Pier from a brief run at Palisades Amusement Park. Instead, it seems that it was bought new from Anton Schwarzkopf's company in Germany. Casino Pier had operated Wild Mouse roller coasters in the late 1950s, but by the mid 1960s, ridership numbers were dropping. The Park's operator, Ken Wynne, was traveling in Europe when he found the coaster he thought would be the best replacement—a Jet Star coaster built by Schwarzkopf. Wynne believed that it would provide a much more exciting ride experience than the earlier Wild Mouse coasters.During the construction of Jet Star, there was some debate on where it should be located on Casino Pier. One story tells of how Wynne told the ride dealer, Roland Koch, where on the pier the coaster should be built. When Wynne returned from lunch, he discovered that Koch had begun to build the coaster in a completely different part of the pier. After a long argument, Koch's preferred location won and the coaster was built where the dealer wanted—at the very end of the pier, overlooking the ocean. As the later Star Jet would ultimately replace the Jet Star, this placement may have proven unlucky for the later coaster, as it was only the far corner of Casino Pier which collapsed during Hurricane Sandy, sending the later coaster into the surf in 2012.The Jet Star was removed from Casino Pier in 2000. There were some attempts to sell the coaster, but refurbishment would have been too costly. The coaster was ultimately scrapped and the cars sold off.",2000,0,,,Star Jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcat,1970.0,,,,,,General statistics,Steel,Anton Schwarzkopf,,Wildcat/65m,,Chain lift,,,,,,,,,Wildcat (Jolly Roger Amusement Park),"Over its lifetime, the roller coaster has been relocated three times, opening for the first time at Cedar Point in Sandusky, Ohio in 1970 as Wildcat. Then, after the 1978 season, it was relocated to Valleyfair! in Shakopee, Minnesota and opened for the 1979 season as Wild Rails. 20 years later, in 1999, the ride was relocated a second time to Jolly Roger Amusement Park, where it operated until 2001 when it was put into storage until 2015, when it reopened in a different section in the park.",,0,,,,,,,,38°21′31″N 75°04′36″W﻿ / ﻿38.3585°N 75.0766°W,44°47′56″N 93°27′11″W﻿ / ﻿44.799°N 93.453°W,Operating,Removed,1999,1979,41°28′41″N 82°40′44″W﻿ / ﻿41.478°N 82.679°W,38°21′31″N 75°04′36″W﻿ / ﻿38.3585°N 75.0766°W,Removed,Operating,"May 23, 1970",1999,,1998,1978,1998,1978,,,,,,,,,,44°47′56″N 93°27′11″W﻿ / ﻿44.799°N 93.453°W,41°28′41″N 82°40′44″W﻿ / ﻿41.478°N 82.679°W,Removed,Removed,1979,"May 23, 1970",38°21′31″N 75°04′36″W﻿ / ﻿38.3585°N 75.0766°W,44°47′56″N 93°27′11″W﻿ / ﻿44.799°N 93.453°W,41°28′41″N 82°40′44″W﻿ / ﻿41.478°N 82.679°W,Operating,Removed,Removed,1999,1979,"May 23, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcat,1979.0,,,,,,General statistics,Steel,Anton Schwarzkopf,,Wildcat/65m,,Chain lift,,,,,,,,,Wildcat (Jolly Roger Amusement Park),"Over its lifetime, the roller coaster has been relocated three times, opening for the first time at Cedar Point in Sandusky, Ohio in 1970 as Wildcat. Then, after the 1978 season, it was relocated to Valleyfair! in Shakopee, Minnesota and opened for the 1979 season as Wild Rails. 20 years later, in 1999, the ride was relocated a second time to Jolly Roger Amusement Park, where it operated until 2001 when it was put into storage until 2015, when it reopened in a different section in the park.",,0,,,,,,,,38°21′31″N 75°04′36″W﻿ / ﻿38.3585°N 75.0766°W,44°47′56″N 93°27′11″W﻿ / ﻿44.799°N 93.453°W,Operating,Removed,1999,1979,41°28′41″N 82°40′44″W﻿ / ﻿41.478°N 82.679°W,38°21′31″N 75°04′36″W﻿ / ﻿38.3585°N 75.0766°W,Removed,Operating,"May 23, 1970",1999,,1998,1978,1998,1978,,,,,,,,,,44°47′56″N 93°27′11″W﻿ / ﻿44.799°N 93.453°W,41°28′41″N 82°40′44″W﻿ / ﻿41.478°N 82.679°W,Removed,Removed,1979,"May 23, 1970",38°21′31″N 75°04′36″W﻿ / ﻿38.3585°N 75.0766°W,44°47′56″N 93°27′11″W﻿ / ﻿44.799°N 93.453°W,41°28′41″N 82°40′44″W﻿ / ﻿41.478°N 82.679°W,Operating,Removed,Removed,1999,1979,"May 23, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Flyer,1971.0,,Whistlestop Park,,,,General statistics,Steel – Kiddie,Bradley and Kaye,Chance Rides,Little Dipper,Oval,Chain lift hill,10 ft (3.0 m),,350 ft (110 m),10 mph (16 km/h),0:30,1°,360 riders per hour,2.1,Magic Flyer,"Magic Flyer was originally located at Beverly Park in the 1940s, known as the Little Dipper. It was relocated to Six Flags Magic Mountain in 1971 where it began operation as Clown Coaster. In the 1984-1985 off-season the ride was renamed and rethemed to Wile E. Coyote Coaster to suit the theme of the nearby Bugs Bunny World.In 1998, the roller coaster closed and was disassembled. In 2000, the coaster was redesigned to look like the larger Goliath roller coaster, located in the same park, and relocated near to it. The old supports were replaced with supports that resembled those found on the Goliath and the trains were rebuilt from the chassis up. It was repainted with Goliath's color scheme and given the name Goliath Jr. (Goliath Junior) to reopen in 2001.In the 2007-2008 off-season Goliath Jr. was rethemed to Percy's Railway to match Six Flags Magic Mountain's new kids zone, Thomas Town. Similarly to the Goliath Jr. makeover, the cars were rebuilt to resemble Percy the Small Engine (the leading car) and his Troublesome Trucks (the two following cars), all from the television series Thomas & Friends.In late 2010, Six Flags began the process of removing licensed theming from attractions. They terminated several licenses including that for Thomas the Tank Engine. The Thomas Town at Six Flags Magic Mountain has been renamed and rethemed to Whistlestop Park which reopened on March 19, 2011. Percy's Railway was now again rethemed and renamed to Magic Flyer. The coaster saw very little change aside from Percy's face being removed and the red stripes painted over.",1970,0,Single train with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,,,,,34°25′29″N 118°35′45″W﻿ / ﻿34.424861°N 118.595918°W,34°07′18″N 118°25′05″W﻿ / ﻿34.12167°N 118.41806°W,Operating,Removed,"May 29, 1971",1946 or later,34°25′29″N 118°35′45″W﻿ / ﻿34.424861°N 118.595918°W,34°07′18″N 118°25′05″W﻿ / ﻿34.12167°N 118.41806°W,Operating,Removed,"May 29, 1971",1946 or later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Canyon Blaster,1972.0,,,,,,General statistics,Steel – Mine Train,Arrow Development,,Mine Train,,Chain lift hill,56 ft (17 m),,"2,036 ft (621 m)",45 mph (72 km/h),2 min. 30 sec.,,,,Canyon Blaster (Great Escape),"Canyon Blaster originally opened as Timber Topper at the now-defunct Opryland USA theme park in Nashville, Tennessee. Manufactured by Arrow Development, the ride opened with the park in 1972 and remained its only full-size coaster until Wabash Cannonball opened in 1975 as part of a major park expansion. It carried a rustic mine train theme, though unlike many similar coasters at other parks, it did not enter a tunnel or travel underground. In the late 1970s, the coaster was renamed Rock n' Roller Coaster, when its park area was rethemed to ""Doo-Wah Diddy City"", paying homage to the doo wop music of the 1950s. As part of the re-theming, its trains and buildings associated with the ride were repainted in bright pastel colors.
After Opryland closed in 1997, the coaster was disassembled and sold to Premier Parks. After being stored at the Old Indiana Fun Park in Thorntown, Indiana for several years, the ride was relocated to The Great Escape in Queensbury, New York and renamed Canyon Blaster in 2003.
On May 30, 2013, Great Escape announced that their Canyon Blaster roller coaster would be running backwards for the first time ever during 2013 season for a limited time during the summer.",1997,0,,,,,,42 in (107 cm),,43°21′6.71″N 73°41′29.93″W﻿ / ﻿43.3518639°N 73.6916472°W,36°12′29″N 86°41′42″W﻿ / ﻿36.208°N 86.695°W,Operating,Removed,"June 27, 2003",1972,43°21′6.71″N 73°41′29.93″W﻿ / ﻿43.3518639°N 73.6916472°W,36°12′29″N 86°41′42″W﻿ / ﻿36.208°N 86.695°W,Operating,Removed,"June 27, 2003",1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghosttown,Doo-Wah Diddy City,Ghosttown,Doo-Wah Diddy City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Canyon Blaster,2003.0,,,,,,General statistics,Steel – Mine Train,Arrow Development,,Mine Train,,Chain lift hill,56 ft (17 m),,"2,036 ft (621 m)",45 mph (72 km/h),2 min. 30 sec.,,,,Canyon Blaster (Great Escape),"Canyon Blaster originally opened as Timber Topper at the now-defunct Opryland USA theme park in Nashville, Tennessee. Manufactured by Arrow Development, the ride opened with the park in 1972 and remained its only full-size coaster until Wabash Cannonball opened in 1975 as part of a major park expansion. It carried a rustic mine train theme, though unlike many similar coasters at other parks, it did not enter a tunnel or travel underground. In the late 1970s, the coaster was renamed Rock n' Roller Coaster, when its park area was rethemed to ""Doo-Wah Diddy City"", paying homage to the doo wop music of the 1950s. As part of the re-theming, its trains and buildings associated with the ride were repainted in bright pastel colors.
After Opryland closed in 1997, the coaster was disassembled and sold to Premier Parks. After being stored at the Old Indiana Fun Park in Thorntown, Indiana for several years, the ride was relocated to The Great Escape in Queensbury, New York and renamed Canyon Blaster in 2003.
On May 30, 2013, Great Escape announced that their Canyon Blaster roller coaster would be running backwards for the first time ever during 2013 season for a limited time during the summer.",1997,0,,,,,,42 in (107 cm),,43°21′6.71″N 73°41′29.93″W﻿ / ﻿43.3518639°N 73.6916472°W,36°12′29″N 86°41′42″W﻿ / ﻿36.208°N 86.695°W,Operating,Removed,"June 27, 2003",1972,43°21′6.71″N 73°41′29.93″W﻿ / ﻿43.3518639°N 73.6916472°W,36°12′29″N 86°41′42″W﻿ / ﻿36.208°N 86.695°W,Operating,Removed,"June 27, 2003",1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghosttown,Doo-Wah Diddy City,Ghosttown,Doo-Wah Diddy City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Excalibur', 'Six Flags AstroWorld')",1972.0,Six Flags AstroWorld,,29°40′30″N 95°24′25″W﻿ / ﻿29.675°N 95.407°W,Removed,1972,General statistics,Steel – Mine Train,Arrow Dynamics,,Mine Train,,Chain lift hill,88 ft (27 m),80 ft (24 m),"2,637 ft (804 m)",46 mph (74 km/h),2:51,,,,Excalibur (Six Flags AstroWorld),History section not found,1998,0,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire in the Hole,1972.0,Silver Dollar City,Hugo's Hill Street,36°40′13″N 93°20′27″W﻿ / ﻿36.670261°N 93.340698°W,Closed,1972,General statistics,Steel – Enclosed,Herschend Family Entertainment,Herschend Enterprises,,,"Trains are powered, propelling themselves on uphill sections. Trains then freely roll over drops. Tires embedded in the track also move trains through certain sections.",,20 ft (6.1 m),"1,380 ft (420 m)",27 mph (43 km/h),3:15,,1000 riders per hour,,Fire in the Hole (1972),History section not found,"December 30, 2023",0,2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,,,,,36 in (91 cm),,,,,,,,,,,,,,,,,,,,,,,,Must transfer from wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
