Name,Amusement Park,Type,Design,Status_x,Opened,City,Region,Country,Make,Length,Height,Speed,Inversions,Elements,Image URLs,Drop (ft),Duration,G-force,Max vertical angle,Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,year_introduced,Location,Park section,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics
Atlantis Adventure,Lotte World,Steel,Sit Down,Operating,2003,Songpa-Gu,Seoul,South Korea,Intamin,"2,198.1 ft (670.0 m)",72.2 ft (22.0 m),46.6 mph (75.0 km/h),0,['LSM Lift Hill'],[],,1:48,3.8,72°,,,,,,,,2003,Lotte World,,Steel,Intamin,,Aqua Trax,,,72.2 ft (22.0 m),,"2,198.1 ft (670.0 m)",46.6 mph (75.0 km/h),1:48,72°,,3.8,Atlantis Adventure,Construction of the roller coaster began around 2000. Atlantis Adventure took around 35 billion won to construct.,,0,a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,,,
Backety-Back Scenic Railway,Crystal Beach,Wood – Shuttle,Sit Down,Removed,1909,Crystal Beach,Ontario,Canada,,,,10 mph (16 km/h),0,,[],,,,,,,,,,,,1909,Crystal Beach,,Wood – Shuttle,,John H. Brown,,,,,,,10 mph (16 km/h),,,,,Backety-Back Scenic Railway,"Backety-Back Scenic Railway was built in 1909 by Pennsylvanian John H. Brown and construction of the coaster cost $50,000. Backety-Back Scenic Railway was the only roller coaster Brown would ever build. In 1904, however, he patented the unique track-reversal design which made the coaster a predecessor to modern shuttle roller coasters.",1926,0,2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,
Baron 1898,Efteling,Steel – Dive Coaster,Sit Down,Operating,2015,Kaatsheuvel,North Brabant,Netherlands,Bolliger & Mabillard,"501 m (1,644 ft)",30 m (98 ft),90 km/h (56 mph),2,"['Dark/Show Section', 'Chain Lift Hill', 'Tunnel', 'Immelmann', 'Zero-G Roll', 'Helix']",[],123,130 seconds[3],3,87°,,,,,,,37.5 m (123 ft),2015,Efteling,,Steel – Dive Coaster,Bolliger & Mabillard,,Dive Coaster,,Chain lift hill,30 m (98 ft),37.5 m (123 ft),"501 m (1,644 ft)",90 km/h (56 mph),130 seconds[3],87°,1000 riders per hour,3,Baron 1898,History section not found,,2,3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,,,
Big Grizzly Mountain Runaway Mine Cars,Hong Kong Disneyland,Steel – 高鐵 – Launched,Sit Down,Operating,2012,New Territories,Hong Kong,China,Vekoma,"1,100 m (3,600 ft)",,72 km/h (45 mph),0,"['Chain Lift Hill', 'Chain Lift Hill', 'LIM Launch']",[],,3:14,,,,,,,,,,2012,Hong Kong Disneyland,Grizzly Gulch,Steel – 高鐵 – Launched,Vekoma,Walt Disney Imagineering,,,Both,,,"1,100 m (3,600 ft)",72 km/h (45 mph),3:14,,"1,728 riders per hour",,Big Grizzly Mountain Runaway Mine Cars,,,0,6 (Usually 5 for operations) trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,,
Blue Flyer,Pleasure Beach Resort,,Sit Down,Operating,2011,Lancashire,England,United Kingdom,,,15 ft (4.6 m),,0,,[],,1:00,,,,,,,,,,2011,Pleasure Beach Resort,Nickelodeon Land,,,Charlie Paige,,,,15 ft (4.6 m),,,,1:00,,,,Blue Flyer,History section not found,,0,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,
Boardwalk Bullet,Kemah Boardwalk,Wood – Twister,Sit Down,Operating,2007,Kemah,Texas,United States,Martin & Vleminckx,"3,236 ft (986 m)",96 ft (29 m),51 mph (82 km/h),0,,[],92,1:45,3.5,55°,,,,,,,92 ft (28 m),2007,Kemah Boardwalk,,Wood – Twister,Martin & Vleminckx,The Gravity Group,,,Chain Lift Hill,96 ft (29 m),92 ft (28 m),"3,236 ft (986 m)",51 mph (82 km/h),1:45,55°,800 riders per hour,3.5,Boardwalk Bullet,History section not found,,0,,,,
Booster Bike,Toverland,Steel – Motorbike – Launched,Sit Down,Operating,2004,Sevenum,Limburg,Netherlands,Vekoma,"594 m (1,949 ft)",15 m (49 ft),75 km/h (47 mph),0,['Hydraulic Launch'],[],,1:08,2.5,,,,,,,,,2004,Toverland,,Steel – Motorbike – Launched,Vekoma,Vekoma,Motorbike Coaster (600m),Out and Back,,15 m (49 ft),,"594 m (1,949 ft)",75 km/h (47 mph),1:08,,,2.5,Booster Bike,History section not found,,0,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,,
Candymonium,Hersheypark,Steel,Sit Down,Operating,2020,Hershey,Pennsylvania,United States,Bolliger & Mabillard,"4,636 ft (1,413 m)",210 ft (64 m),76 mph (122 km/h),0,"['Chain Lift Hill', 'Hill', 'Hill']",[],,2:26,,77.3°,,,,7,,,216 ft (66 m),2020,Hersheypark,Chocolatetown,Steel,Bolliger & Mabillard,,Hyper Coaster,Out and Back,Chain Lift Hill,210 ft (64 m),216 ft (66 m),"4,636 ft (1,413 m)",76 mph (122 km/h),2:26,77.3°,,,Candymonium,"On October 3, 2018, Hershey Entertainment and Resorts revealed their ""biggest announcement ever"": a new 23-acre (9.3 ha) section of the park named Chocolatetown, as well as a new entrance plaza, both of which would open in 2020. The anchor attractions were scheduled to include a roller coaster, as well as a new shopping area and a fountain, built at a cost of $150 million. The new coaster was planned to be a hypercoaster, over 200 feet (61 m) tall, which required approval from the Federal Aviation Administration. According to the filing with the FAA, the coaster was to be, at most, 220 feet (67 m) above ground level. The FAA approved the ride.In July 2019, Hersheypark officials announced that the new roller coaster would be called Candymonium, marketed as the ""world’s sweetest coaster"". According to Hershey Entertainment and Resorts Company CEO John Lawn, ""the coaster was a key ingredient to the entire Hershey’s Chocolatetown"". By that time, the first few track pieces and part of the station had been built.In an Instagram post in October 2019, Hersheypark posted an image showing that construction on the lift hill was partially complete. In November 2019, Candymonium topped out when its lift hill was installed. The final track piece was installed in February 2020, though an opening date had not been announced at that time. Due to the COVID-19 pandemic in Pennsylvania, construction on Chocolatetown was delayed in April 2020, though construction resumed the next month and the first test train on Candymonium ran on May 6, 2020. Candymonium officially opened on July 3, 2020. Because of COVID-19 restrictions, only a limited number of guests were initially allowed in the park, and riders had to wear face masks while waiting for the ride (although they could take off their masks on the coaster).",,0,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,,
Canobie Corkscrew,Canobie Lake Park,Steel,Sit Down,Removed,1987,Salem,New Hampshire,United States,Arrow Development,,73 ft (22 m),45 mph (72 km/h),2,['Double Corkscrew'],[],,1:30,,,,,,,,,,1987,Canobie Lake Park,,Steel,Arrow Development,,Corkscrew,,Chain lift hill,73 ft (22 m),,,45 mph (72 km/h),1:30,,,,Canobie Corkscrew,"Designed by Arrow Development, Canobie Corkscrew was first operated in 1975 as Chicago Loop at the indoor amusement park Old Chicago in Bolingbrook, Illinois. It was the second roller coaster in the world to turn riders upside down twice. It stayed at Old Chicago until the park's closing in 1980. Chicago Loop was featured in the 1978 film The Fury.
In 1985, Canobie Lake Park purchased the ride. It lay unassembled for nearly two years, because if erected it would stand taller than the town of Salem would have allowed. In 1987, Salem gave Canobie Lake Park a waiver to put up the roller coaster. It was then renamed Canobie Corkscrew.
In August 2012, Canobie Corkscrew underwent a repainting. The coaster's support systems were painted white and the track itself was painted blue. Previously, the ride was yellow with black supports.
The ride was removed after the 2021 season.",2021,2,,,,
Carolina Cyclone,Carowinds,Steel,Sit Down,Operating,1980,Charlotte,North Carolina,United States,Arrow Dynamics,"2,100 ft (640 m)",95 ft (29 m),41 mph (66 km/h),4,"['Chain Lift Hill', 'Loop', 'Loop', 'Double Corkscrew']",[],65,1:30,3.5,53°,,,,,,,65 ft (20 m),1980,Carowinds,Carolina Boardwalk,Steel,Arrow Dynamics,Ron Toomer,Custom Looping Coaster,,Chain lift hill,95 ft (29 m),65 ft (20 m),"2,100 ft (640 m)",41 mph (66 km/h),1:30,53°,"1,600 riders per hour",3.5,Carolina Cyclone,"On June 21, 1979, Carowinds announced that they would be building a new roller coaster for the 1980 season. It would be called Carolina Cyclone and be the first roller coaster to have four inversions. Carolina Cyclone officially opened to the public on March 22, 1980.The ride was originally painted with red-orange track and black supports, and later bluish-green track with black supports, and later with blue track and dark gray supports. For the 2010 season, a new paint job was applied. The supports are light blue along the entire ride. The track in the final brake run, station, and from the station to the top of the first drop, is also painted light blue, but the inversions are painted yellow and the track on the first drop, turn between the corkscrews, and final helix are all painted orange.
In late 2021, the ride received yet another repaint. Multiple colors were put on the track to see how they would look. The supports are white and the entire track is turquoise blue.After the 2019 season, Carolina Cyclone received new trains from another Arrow Dynamics looping coaster, the defunct Vortex at Kings Island.",,4,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,
Carolina Goldrusher,Carowinds,Steel,Sit Down,Operating,1973,Charlotte,North Carolina,United States,Arrow Dynamics,"2,397 ft (731 m)",43 ft (13 m),30 mph (48 km/h),0,"['Chain Lift Hill', 'Chain Lift Hill', 'Tunnel']",[],,2:17,2.4,,,,,,,,34 ft (10 m),1973,Carowinds,Carolina Boardwalk,Steel,Arrow Dynamics,Ron Toomer,Mine Train,,Two chain lift hills,43 ft (13 m),34 ft (10 m),"2,397 ft (731 m)",30 mph (48 km/h),2:17,,"2,000 riders per hour",2.4,Carolina Goldrusher,History section not found,,0,,,,
Cedar Creek Mine Ride,Cedar Point,Steel – Mine Train,Sit Down,Operating,1969,Sandusky,Ohio,United States,Arrow Development,"2,540 ft (770 m)",48 ft (15 m),42 mph (68 km/h),0,"['Chain Lift Hill', 'Chain Lift Hill']",[],,2:50,,,,,,,,,,1969,Cedar Point,Frontier Town,Steel – Mine Train,Arrow Development,Ron Toomer,Mine Train,,Two chain lift hills,48 ft (15 m),,"2,540 ft (770 m)",42 mph (68 km/h),2:50,,2400 riders per hour,,Cedar Creek Mine Ride,"Following the success of Matterhorn Bobsleds at Disneyland which opened in 1959, the tubular steel track design pioneered by Arrow Development was in high demand at other amusement parks around the world. Arrow developed a runaway mine train concept that would be used in many of its first roller coasters. Among them was the Cedar Creek Mine Ride at Cedar Point, which opened on May 24, 1969, as the centerpiece for the new Frontiertown section of the park. It is the second oldest roller coaster at Cedar Point and has given over 62 million rides since its debut.In 2019, Cedar Creek Mine Ride celebrated its 50th anniversary. The attraction received some changes, including a new station soundtrack, special effects in the first tunnel, and mineshaft scenery in the queue.",,0,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,,
Coast Rider,Knott's Berry Farm,Steel – Wild Mouse,Sit Down,Operating,2013,Buena Park,California,United States,Mack Rides,"1,339 ft (408 m)",52 ft (16 m),,0,['Chain Lift Hill'],[],,2:30,,,,,,,,,,2013,Knott's Berry Farm,The Boardwalk,Steel – Wild Mouse,Mack Rides,,Wild Mouse (large park),Wild Mouse,,52 ft (16 m),,"1,339 ft (408 m)",,2:30,,,,Coast Rider,"Coast Rider operates on the former site of Perilous Plunge. Perilous Plunge closed on September 3, 2012. Cedar Fair Entertainment Company filed a trademark for Coast Rider on October 22, 2012. Knott's Berry Farm officially announced Coast Rider and two other rides on November 1, 2012. The ride opened up along with the rest of the brand new boardwalk on May 25, 2013.",,0,,Perilous Plunge,,
Colorado Adventure,Phantasialand,Steel – Mine Train,Sit Down,Operating,1996,Brühl,North Rhine-Westphalia,Germany,Vekoma,"4,199 ft (1,280 m)",85 ft (26 m),31.1 mph (50.1 km/h),,"['Booster Wheel Lift Hill', 'Booster Wheel Lift Hill', 'Booster Wheel Lift Hill']",[],,2:55,,,,,,,,,,1996,Phantasialand,Mexico,Steel – Mine Train,Vekoma,,Custom MK-900 M,,,85 ft (26 m),,"4,199 ft (1,280 m)",31.1 mph (50.1 km/h),2:55,,"2,300 riders per hour",,Colorado Adventure,History section not found,,,,,,
Copperhead Strike,Carowinds,Steel – Launched,Sit Down,Operating,2019,Charlotte,North Carolina,United States,Mack Rides GmbH & Co KG,"3,255 ft (992 m)",82 ft (25 m),50 mph (80 km/h),5,"['Heartline Roll', 'LSM Launch', 'Loop', 'Corkscrew', 'LSM Launch', 'Cutback', 'Loop']",[],,2:24,,,,,,,,,,2019,Carowinds,Blue Ridge Junction,Steel – Launched,Mack Rides GmbH & Co KG,,Launch Coaster,,LSM launch,82 ft (25 m),,"3,255 ft (992 m)",50 mph (80 km/h),2:24,,"1,200 riders per hour",,Copperhead Strike,"Whitewater Falls, a Hopkins Rides shoot-the-chutes water attraction opened in 1988, closed at the end of the 2016 season. No official reasoning was given by the park for the closure of the ride, and the ride remained standing but not operating throughout the 2017 season until it was removed. In 2018, Carowinds began teasing a new attraction for the area formerly home to Whitewater Falls. On August 30, 2018, Carowinds officially announced Copperhead Strike, along with its accompanying area, becoming the largest investment in the park's history. On October 17, 2018, construction of the ride's vertical loop and queue area were taking shape. The roller coaster opened to the public on March 23, 2019.",,5,3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Whitewater Falls Sand Dune Lagoon,,
Cornball Express,Indiana Beach,Wood,Sit Down,Operating,2001,Monticello,Indiana,United States,Custom Coasters International,"2,100 ft (640 m)",55 ft (17 m),45 mph (72 km/h),0,,[],,51 Seconds,4.7,,,,,,,,50 ft (15 m),2001,Indiana Beach,,Wood,Custom Coasters International,,,Wood,Chain,55 ft (17 m),50 ft (15 m),"2,100 ft (640 m)",45 mph (72 km/h),51 Seconds,,,4.7,Cornball Express,History section not found,,0,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,
